Architecture,6-LUTs,FPGA Size,Device Utilization,IO Utilization,CLB Utilization,Number of Nets,CLBs,Total Wirelength,Total Logic Block Area,Total Used Logic Block Area,Total Routing Area,Per Logic Tile,Critical Path,Maximum Routing Channel Utilization,Maximum Routing Channel Coordinate,benchmark
vib_new_1036,12276,50x50,0.75,N/A,N/A,N/A,N/A,251479,1.47946,1.0756,3.07654e+07,3.07654,9.62532,0.7,"27,24",arm_core
vib_new_1211,12276,50x50,0.75,N/A,N/A,N/A,N/A,212771,1.47946,1.0756,3.07367e+07,3.07367,10.6053,0.68,"27,17",arm_core
vib_new_88,12276,50x50,0.75,N/A,N/A,N/A,N/A,242211,1.47946,1.0756,2.79766e+07,2.79766,10.0438,0.59,"36,32",arm_core
vib_new_1404,12276,50x50,0.75,N/A,N/A,N/A,N/A,224091,1.47946,1.0756,2.54591e+07,2.54591,10.1023,0.75,"26,19",arm_core
vib_new_1076,12276,50x50,0.75,N/A,N/A,N/A,N/A,237637,1.47946,1.0756,3.22550e+07,3.22550,9.48623,0.59,"37,24",arm_core
vib_new_1219,12276,50x50,0.75,N/A,N/A,N/A,N/A,224055,1.47946,1.0756,3.49903e+07,3.49903,10.0883,0.49,"37,33",arm_core
vib_new_136,12276,50x50,0.75,N/A,N/A,N/A,N/A,250283,1.47946,1.0756,2.77793e+07,2.77793,10.0857,0.56,"27,22",arm_core
vib_new_794,12276,50x50,0.75,N/A,N/A,N/A,N/A,303432,1.47946,1.0756,2.85417e+07,2.85417,9.6008,0.6,"31,29",arm_core
vib_new_918,12276,50x50,0.75,N/A,N/A,N/A,N/A,259316,1.47946,1.0756,3.22463e+07,3.22463,9.5586,0.52,"37,16",arm_core
vib_new_1425,12276,50x50,0.75,N/A,N/A,N/A,N/A,270058,1.47946,1.0756,3.44750e+07,3.44750,10.2317,0.53,"37,29",arm_core
vib_new_713,12276,50x50,0.75,N/A,N/A,N/A,N/A,301438,1.47946,1.0756,3.07745e+07,3.07745,9.72087,0.62,"30,21",arm_core
vib_new_391,12276,50x50,0.75,N/A,N/A,N/A,N/A,285972,1.47946,1.0756,3.07683e+07,3.07683,9.67237,0.6,"37,12",arm_core
vib_new_1481,12276,50x50,0.75,N/A,N/A,N/A,N/A,271713,1.47946,1.0756,2.69665e+07,2.69665,10.1108,0.79,"24,23",arm_core
vib_new_852,12276,50x50,0.75,N/A,N/A,N/A,N/A,297032,1.47946,1.0756,2.60784e+07,2.60784,11.3203,0.8,"27,48",arm_core
vib_new_1422,12276,50x50,0.75,N/A,N/A,N/A,N/A,292137,1.47946,1.0756,2.52389e+07,2.52389,9.62043,0.64,"28,20",arm_core
vib_new_154,12276,50x50,0.75,N/A,N/A,N/A,N/A,267240,1.47946,1.0756,3.07859e+07,3.07859,10.1176,0.51,"31,24",arm_core
vib_new_717,12276,50x50,0.75,N/A,N/A,N/A,N/A,357451,1.47946,1.0756,2.25212e+07,2.25212,10.6559,0.82,"22,48",arm_core
vib_new_819,12276,50x50,0.75,N/A,N/A,N/A,N/A,207995,1.47946,1.0756,4.11676e+07,4.11676,10.1318,0.51,"27,17",arm_core
vib_new_1233,12276,50x50,0.75,N/A,N/A,N/A,N/A,349898,1.47946,1.0756,2.87214e+07,2.87214,10.0985,0.67,"27,26",arm_core
vib_new_924,12276,50x50,0.75,N/A,N/A,N/A,N/A,255840,1.47946,1.0756,3.60474e+07,3.60474,10.6198,0.59,"31,24",arm_core
vib_new_634,12276,50x50,0.75,N/A,N/A,N/A,N/A,228033,1.47946,1.0756,3.67107e+07,3.67107,9.8858,0.46,"34,36",arm_core
vib_new_394,12276,50x50,0.75,N/A,N/A,N/A,N/A,226578,1.47946,1.0756,3.19829e+07,3.19829,9.45172,0.63,"31,30",arm_core
vib_new_641,12276,50x50,0.75,N/A,N/A,N/A,N/A,316094,1.47946,1.0756,2.19376e+07,2.19376,12.4079,0.76,"31,27",arm_core
vib_new_775,12276,50x50,0.75,N/A,N/A,N/A,N/A,292564,1.47946,1.0756,2.77036e+07,2.77036,10.6716,0.59,"38,32",arm_core
vib_new_1378,12276,50x50,0.75,N/A,N/A,N/A,N/A,396712,1.47946,1.0756,2.27972e+07,2.27972,11.5144,0.79,"16,48",arm_core
vib_new_58,12276,50x50,0.75,N/A,N/A,N/A,N/A,360637,1.47946,1.0756,2.25359e+07,2.25359,11.3132,0.91,"24,23",arm_core
vib_new_858,12276,50x50,0.75,N/A,N/A,N/A,N/A,231407,1.47946,1.0756,3.72020e+07,3.72020,10.1645,0.56,"30,20",arm_core
vib_new_246,12276,50x50,0.75,N/A,N/A,N/A,N/A,279388,1.47946,1.0756,2.52541e+07,2.52541,10.7745,0.65,"31,15",arm_core
vib_new_1301,12276,50x50,0.75,N/A,N/A,N/A,N/A,271106,1.47946,1.0756,2.87074e+07,2.87074,9.46464,0.6,"27,23",arm_core
vib_new_850,12276,50x50,0.75,N/A,N/A,N/A,N/A,270586,1.47946,1.0756,2.37152e+07,2.37152,9.20841,0.86,"30,27",arm_core
vib_new_624,12276,50x50,0.75,N/A,N/A,N/A,N/A,260990,1.47946,1.0756,3.24163e+07,3.24163,10.0682,0.55,"36,12",arm_core
vib_new_750,12276,50x50,0.75,N/A,N/A,N/A,N/A,313853,1.47946,1.0756,2.38367e+07,2.38367,11.3084,0.72,"27,20",arm_core
vib_new_553,12276,50x50,0.75,N/A,N/A,N/A,N/A,293715,1.47946,1.0756,2.56211e+07,2.56211,9.09008,0.65,"26,20",arm_core
vib_new_145,12276,50x50,0.75,N/A,N/A,N/A,N/A,264655,1.47946,1.0756,3.48137e+07,3.48137,9.73806,0.55,"27,20",arm_core
vib_new_1361,12276,50x50,0.75,N/A,N/A,N/A,N/A,267326,1.47946,1.0756,3.07815e+07,3.07815,11.3133,0.57,"22,23",arm_core
vib_new_461,12276,50x50,0.75,N/A,N/A,N/A,N/A,261200,1.47946,1.0756,3.26816e+07,3.26816,9.79172,0.54,"37,22",arm_core
vib_new_746,12276,50x50,0.75,N/A,N/A,N/A,N/A,384471,1.47946,1.0756,2.27907e+07,2.27907,11.4329,0.83,"29,21",arm_core
vib_new_89,12276,50x50,0.75,N/A,N/A,N/A,N/A,264703,1.47946,1.0756,3.10359e+07,3.10359,11.5413,0.76,"35,32",arm_core
vib_new_106,12276,50x50,0.75,N/A,N/A,N/A,N/A,271205,1.47946,1.0756,2.46650e+07,2.46650,9.87341,0.71,"38,26",arm_core
vib_new_148,12276,50x50,0.75,N/A,N/A,N/A,N/A,299760,1.47946,1.0756,2.99149e+07,2.99149,10.9566,0.92,"32,20",arm_core
vib_new_1462,12276,50x50,0.75,N/A,N/A,N/A,N/A,231564,1.47946,1.0756,3.50292e+07,3.50292,10.2006,0.56,"30,31",arm_core
vib_new_92,12276,50x50,0.75,N/A,N/A,N/A,N/A,286506,1.47946,1.0756,2.68895e+07,2.68895,10.282,0.66,"37,30",arm_core
vib_new_1238,12276,50x50,0.75,N/A,N/A,N/A,N/A,233184,1.47946,1.0756,2.66520e+07,2.66520,10.9238,0.73,"31,26",arm_core
vib_new_374,12276,50x50,0.75,N/A,N/A,N/A,N/A,346268,1.47946,1.0756,2.76681e+07,2.76681,9.72652,0.68,"36,11",arm_core
vib_new_987,12276,50x50,0.75,N/A,N/A,N/A,N/A,228812,1.47946,1.0756,2.59526e+07,2.59526,9.96874,0.72,"27,21",arm_core
vib_new_1491,12276,50x50,0.75,N/A,N/A,N/A,N/A,255307,1.47946,1.0756,3.19650e+07,3.19650,10.4158,0.65,"22,18",arm_core
vib_new_1490,12276,50x50,0.75,N/A,N/A,N/A,N/A,259204,1.47946,1.0756,3.17415e+07,3.17415,10.7609,0.52,"40,31",arm_core
vib_new_873,12276,50x50,0.75,N/A,N/A,N/A,N/A,302249,1.47946,1.0756,3.11159e+07,3.11159,10.4267,0.73,"27,23",arm_core
vib_new_625,12276,50x50,0.75,N/A,N/A,N/A,N/A,410416,1.47946,1.0756,2.49040e+07,2.49040,13.0645,0.86,"28,15",arm_core
vib_new_1024,12276,50x50,0.75,N/A,N/A,N/A,N/A,262036,1.47946,1.0756,2.65348e+07,2.65348,10.2994,0.78,"31,48",arm_core
vib_new_653,12276,50x50,0.75,N/A,N/A,N/A,N/A,295011,1.47946,1.0756,2.26961e+07,2.26961,10.3848,0.8,"28,23",arm_core
vib_new_674,12276,50x50,0.75,N/A,N/A,N/A,N/A,253008,1.47946,1.0756,2.41110e+07,2.41110,10.1687,0.77,"30,27",arm_core
vib_new_977,12276,50x50,0.75,N/A,N/A,N/A,N/A,248619,1.47946,1.0756,3.22863e+07,3.22863,9.40461,0.54,"32,23",arm_core
vib_new_266,12276,50x50,0.75,N/A,N/A,N/A,N/A,258289,1.47946,1.0756,2.94934e+07,2.94934,10.5416,0.6,"38,22",arm_core
vib_new_40,12276,50x50,0.75,N/A,N/A,N/A,N/A,297082,1.47946,1.0756,2.47954e+07,2.47954,10.1685,0.84,"27,19",arm_core
vib_new_458,12276,50x50,0.75,N/A,N/A,N/A,N/A,260556,1.47946,1.0756,2.51814e+07,2.51814,11.1812,0.78,"25,28",arm_core
vib_new_885,12276,50x50,0.75,N/A,N/A,N/A,N/A,283779,1.47946,1.0756,2.43979e+07,2.43979,10.1106,0.77,"28,14",arm_core
vib_new_995,12276,50x50,0.75,N/A,N/A,N/A,N/A,245670,1.47946,1.0756,2.93327e+07,2.93327,10.617,0.68,"25,25",arm_core
vib_new_347,12276,50x50,0.75,N/A,N/A,N/A,N/A,285575,1.47946,1.0756,3.03172e+07,3.03172,10.2248,0.66,"25,24",arm_core
vib_new_960,12276,50x50,0.75,N/A,N/A,N/A,N/A,242748,1.47946,1.0756,3.81256e+07,3.81256,10.4892,0.58,"28,23",arm_core
vib_new_284,12276,50x50,0.75,N/A,N/A,N/A,N/A,270695,1.47946,1.0756,2.63710e+07,2.63710,10.4413,0.68,"23,21",arm_core
vib_new_386,12276,50x50,0.75,N/A,N/A,N/A,N/A,263005,1.47946,1.0756,3.30862e+07,3.30862,9.50507,0.67,"32,19",arm_core
vib_new_1486,12276,50x50,0.75,N/A,N/A,N/A,N/A,236365,1.47946,1.0756,2.94495e+07,2.94495,10.1859,0.61,"38,12",arm_core
vib_new_472,12276,50x50,0.75,N/A,N/A,N/A,N/A,216523,1.47946,1.0756,3.48077e+07,3.48077,9.52456,0.67,"30,20",arm_core
vib_new_611,12276,50x50,0.75,N/A,N/A,N/A,N/A,281937,1.47946,1.0756,2.61576e+07,2.61576,10.7033,0.66,"22,48",arm_core
vib_new_1200,12276,50x50,0.75,N/A,N/A,N/A,N/A,229453,1.47946,1.0756,2.61581e+07,2.61581,10.504,0.66,"34,33",arm_core
vib_new_935,12276,50x50,0.75,N/A,N/A,N/A,N/A,266422,1.47946,1.0756,3.39819e+07,3.39819,9.98442,0.61,"26,20",arm_core
vib_new_52,12276,50x50,0.75,N/A,N/A,N/A,N/A,311596,1.47946,1.0756,2.42302e+07,2.42302,10.4735,0.82,"38,20",arm_core
vib_new_164,12276,50x50,0.75,N/A,N/A,N/A,N/A,286078,1.47946,1.0756,2.57864e+07,2.57864,9.86412,0.66,"29,30",arm_core
vib_new_925,12276,50x50,0.75,N/A,N/A,N/A,N/A,330365,1.47946,1.0756,2.69677e+07,2.69677,13.2928,0.81,"32,31",arm_core
vib_new_299,12276,50x50,0.75,N/A,N/A,N/A,N/A,274038,1.47946,1.0756,3.09874e+07,3.09874,9.56977,0.66,"31,21",arm_core
vib_new_202,12276,50x50,0.75,N/A,N/A,N/A,N/A,272375,1.47946,1.0756,3.17751e+07,3.17751,9.8403,0.54,"24,18",arm_core
vib_new_363,12276,50x50,0.75,N/A,N/A,N/A,N/A,296579,1.47946,1.0756,2.38372e+07,2.38372,10.1326,0.73,"30,25",arm_core
vib_new_1008,12276,50x50,0.75,N/A,N/A,N/A,N/A,259892,1.47946,1.0756,2.63782e+07,2.63782,12.2726,0.74,"36,17",arm_core
vib_new_287,12276,50x50,0.75,N/A,N/A,N/A,N/A,331894,1.47946,1.0756,2.39807e+07,2.39807,9.34804,0.74,"29,14",arm_core
vib_new_906,12276,50x50,0.75,N/A,N/A,N/A,N/A,281046,1.47946,1.0756,3.27511e+07,3.27511,11.106,0.65,"31,18",arm_core
vib_new_805,12276,50x50,0.75,N/A,N/A,N/A,N/A,259328,1.47946,1.0756,2.48585e+07,2.48585,9.90591,0.77,"30,22",arm_core
vib_new_316,12276,50x50,0.75,N/A,N/A,N/A,N/A,272999,1.47946,1.0756,2.76850e+07,2.76850,9.99018,0.74,"30,22",arm_core
vib_new_1464,12276,50x50,0.75,N/A,N/A,N/A,N/A,283009,1.47946,1.0756,3.20241e+07,3.20241,10.2524,0.48,"30,17",arm_core
vib_new_1043,12276,50x50,0.75,N/A,N/A,N/A,N/A,328863,1.47946,1.0756,2.51590e+07,2.51590,10.4902,0.78,"25,21",arm_core
vib_new_1411,12276,50x50,0.75,N/A,N/A,N/A,N/A,343437,1.47946,1.0756,2.43977e+07,2.43977,10.0957,0.83,"31,18",arm_core
vib_new_1057,12276,50x50,0.75,N/A,N/A,N/A,N/A,263902,1.47946,1.0756,3.05479e+07,3.05479,9.5678,0.69,"23,16",arm_core
vib_new_1056,12276,50x50,0.75,N/A,N/A,N/A,N/A,267028,1.47946,1.0756,2.57625e+07,2.57625,10.0744,0.81,"28,22",arm_core
vib_new_972,12276,50x50,0.75,N/A,N/A,N/A,N/A,244091,1.47946,1.0756,3.35382e+07,3.35382,9.3343,0.61,"31,23",arm_core
vib_new_1408,12276,50x50,0.75,N/A,N/A,N/A,N/A,255931,1.47946,1.0756,3.47067e+07,3.47067,10.8723,0.67,"38,16",arm_core
vib_new_1007,12276,50x50,0.75,N/A,N/A,N/A,N/A,326916,1.47946,1.0756,2.64007e+07,2.64007,12.1136,0.69,"36,27",arm_core
vib_new_543,12276,50x50,0.75,N/A,N/A,N/A,N/A,228863,1.47946,1.0756,2.78932e+07,2.78932,9.11174,0.72,"28,21",arm_core
vib_new_444,12276,50x50,0.75,N/A,N/A,N/A,N/A,259189,1.47946,1.0756,3.05176e+07,3.05176,10.2791,0.55,"26,31",arm_core
vib_new_792,12276,50x50,0.75,N/A,N/A,N/A,N/A,232815,1.47946,1.0756,2.82692e+07,2.82692,10.8376,0.77,"31,32",arm_core
vib_new_1006,12276,50x50,0.75,N/A,N/A,N/A,N/A,193681,1.47946,1.0756,3.25948e+07,3.25948,10.6464,0.58,"37,14",arm_core
vib_new_836,12276,50x50,0.75,N/A,N/A,N/A,N/A,269899,1.47946,1.0756,2.42249e+07,2.42249,11.031,0.8,"30,20",arm_core
vib_new_1290,12276,50x50,0.75,N/A,N/A,N/A,N/A,248720,1.47946,1.0756,2.82514e+07,2.82514,9.62054,0.69,"22,12",arm_core
vib_new_813,12276,50x50,0.75,N/A,N/A,N/A,N/A,315912,1.47946,1.0756,2.49200e+07,2.49200,11.1845,0.7,"32,30",arm_core
vib_new_23,12276,50x50,0.75,N/A,N/A,N/A,N/A,284181,1.47946,1.0756,3.01291e+07,3.01291,10.004,0.52,"28,25",arm_core
vib_new_434,12276,50x50,0.75,N/A,N/A,N/A,N/A,277742,1.47946,1.0756,2.88816e+07,2.88816,10.1195,0.66,"30,15",arm_core
vib_new_308,12276,50x50,0.75,N/A,N/A,N/A,N/A,250481,1.47946,1.0756,2.47318e+07,2.47318,9.49524,0.68,"31,15",arm_core
vib_new_1295,12276,50x50,0.75,N/A,N/A,N/A,N/A,254938,1.47946,1.0756,3.28472e+07,3.28472,8.80028,0.52,"24,17",arm_core
vib_new_251,12276,50x50,0.75,N/A,N/A,N/A,N/A,222316,1.47946,1.0756,3.53909e+07,3.53909,9.9625,0.6,"28,25",arm_core
vib_new_1294,12276,50x50,0.75,N/A,N/A,N/A,N/A,259174,1.47946,1.0756,2.73849e+07,2.73849,10.0435,0.7,"28,23",arm_core
vib_new_46,12276,50x50,0.75,N/A,N/A,N/A,N/A,241850,1.47946,1.0756,3.24713e+07,3.24713,10.0531,0.59,"31,30",arm_core
vib_new_632,12276,50x50,0.75,N/A,N/A,N/A,N/A,302082,1.47946,1.0756,3.49551e+07,3.49551,10.9086,0.75,"23,15",arm_core
vib_new_279,12276,50x50,0.75,N/A,N/A,N/A,N/A,223303,1.47946,1.0756,2.80160e+07,2.80160,9.7682,0.71,"37,14",arm_core
vib_new_644,12276,50x50,0.75,N/A,N/A,N/A,N/A,293954,1.47946,1.0756,3.30453e+07,3.30453,9.95925,0.52,"33,19",arm_core
vib_new_510,12276,50x50,0.75,N/A,N/A,N/A,N/A,330399,1.47946,1.0756,2.45632e+07,2.45632,9.87978,0.65,"23,18",arm_core
vib_new_1379,12276,50x50,0.75,N/A,N/A,N/A,N/A,310014,1.47946,1.0756,2.56051e+07,2.56051,10.2886,0.66,"31,32",arm_core
vib_new_1138,12276,50x50,0.75,N/A,N/A,N/A,N/A,241345,1.47946,1.0756,2.44605e+07,2.44605,10.0663,0.79,"27,18",arm_core
vib_new_930,12276,50x50,0.75,N/A,N/A,N/A,N/A,265987,1.47946,1.0756,2.67009e+07,2.67009,9.4344,0.64,"26,34",arm_core
vib_new_1137,12276,50x50,0.75,N/A,N/A,N/A,N/A,271338,1.47946,1.0756,2.32613e+07,2.32613,9.74758,0.77,"31,25",arm_core
vib_new_306,12276,50x50,0.75,N/A,N/A,N/A,N/A,273895,1.47946,1.0756,2.80872e+07,2.80872,9.94745,0.79,"28,23",arm_core
vib_new_482,12276,50x50,0.75,N/A,N/A,N/A,N/A,306878,1.47946,1.0756,2.52706e+07,2.52706,10.3404,0.73,"33,16",arm_core
vib_new_90,12276,50x50,0.75,N/A,N/A,N/A,N/A,281914,1.47946,1.0756,2.92523e+07,2.92523,9.75979,0.64,"36,30",arm_core
vib_new_1054,12276,50x50,0.75,N/A,N/A,N/A,N/A,222326,1.47946,1.0756,2.96785e+07,2.96785,10.2658,0.76,"27,18",arm_core
vib_new_1300,12276,50x50,0.75,N/A,N/A,N/A,N/A,237494,1.47946,1.0756,3.27295e+07,3.27295,9.58831,0.49,"34,35",arm_core
vib_new_205,12276,50x50,0.75,N/A,N/A,N/A,N/A,251574,1.47946,1.0756,2.81899e+07,2.81899,11.5175,0.67,"27,34",arm_core
vib_new_909,12276,50x50,0.75,N/A,N/A,N/A,N/A,290053,1.47946,1.0756,2.80818e+07,2.80818,9.65973,0.75,"27,26",arm_core
vib_new_219,12276,50x50,0.75,N/A,N/A,N/A,N/A,294708,1.47946,1.0756,2.89244e+07,2.89244,11.05,0.78,"31,20",arm_core
vib_new_1143,12276,50x50,0.75,N/A,N/A,N/A,N/A,278013,1.47946,1.0756,2.54965e+07,2.54965,11.4928,0.77,"30,26",arm_core
vib_new_110,12276,50x50,0.75,N/A,N/A,N/A,N/A,235353,1.47946,1.0756,2.92011e+07,2.92011,10.1411,0.64,"31,23",arm_core
vib_new_520,12276,50x50,0.75,N/A,N/A,N/A,N/A,278790,1.47946,1.0756,2.96779e+07,2.96779,10.5239,0.68,"28,26",arm_core
vib_new_401,12276,50x50,0.75,N/A,N/A,N/A,N/A,257117,1.47946,1.0756,3.00287e+07,3.00287,9.9734,0.67,"28,22",arm_core
vib_new_104,12276,50x50,0.75,N/A,N/A,N/A,N/A,357401,1.47946,1.0756,2.30360e+07,2.30360,10.0477,0.77,"27,37",arm_core
vib_new_134,12276,50x50,0.75,N/A,N/A,N/A,N/A,268422,1.47946,1.0756,2.68825e+07,2.68825,9.3027,0.61,"27,23",arm_core
vib_new_1058,12276,50x50,0.75,N/A,N/A,N/A,N/A,265118,1.47946,1.0756,2.64294e+07,2.64294,10.029,0.71,"31,19",arm_core
vib_new_760,12276,50x50,0.75,N/A,N/A,N/A,N/A,415932,1.47946,1.0756,2.69624e+07,2.69624,10.8822,0.87,"36,26",arm_core
vib_new_1218,12276,50x50,0.75,N/A,N/A,N/A,N/A,256987,1.47946,1.0756,3.26984e+07,3.26984,10.0505,0.72,"31,19",arm_core
vib_new_1440,12276,50x50,0.75,N/A,N/A,N/A,N/A,406746,1.47946,1.0756,2.36380e+07,2.36380,12.6013,0.84,"26,48",arm_core
vib_new_1467,12276,50x50,0.75,N/A,N/A,N/A,N/A,219377,1.47946,1.0756,2.81622e+07,2.81622,10.5335,0.6,"37,12",arm_core
vib_new_209,12276,50x50,0.75,N/A,N/A,N/A,N/A,262653,1.47946,1.0756,3.03548e+07,3.03548,9.66702,0.52,"38,34",arm_core
vib_new_426,12276,50x50,0.75,N/A,N/A,N/A,N/A,295513,1.47946,1.0756,2.79351e+07,2.79351,10.6091,0.68,"31,27",arm_core
vib_new_201,12276,50x50,0.75,N/A,N/A,N/A,N/A,332349,1.47946,1.0756,3.23279e+07,3.23279,10.3281,0.72,"31,22",arm_core
vib_new_1292,12276,50x50,0.75,N/A,N/A,N/A,N/A,234010,1.47946,1.0756,2.97040e+07,2.97040,9.91569,0.8,"31,21",arm_core
vib_new_66,12276,50x50,0.75,N/A,N/A,N/A,N/A,316152,1.47946,1.0756,2.15733e+07,2.15733,11.0397,0.88,"32,34",arm_core
vib_new_1004,12276,50x50,0.75,N/A,N/A,N/A,N/A,259283,1.47946,1.0756,2.78045e+07,2.78045,8.95935,0.65,"36,14",arm_core
vib_new_774,12276,50x50,0.75,N/A,N/A,N/A,N/A,280712,1.47946,1.0756,2.33362e+07,2.33362,10.8895,0.73,"34,26",arm_core
vib_new_128,12276,50x50,0.75,N/A,N/A,N/A,N/A,226370,1.47946,1.0756,2.68332e+07,2.68332,10.021,0.74,"31,23",arm_core
vib_new_1382,12276,50x50,0.75,N/A,N/A,N/A,N/A,220609,1.47946,1.0756,2.94851e+07,2.94851,9.79962,0.62,"32,17",arm_core
vib_new_10,12276,50x50,0.75,N/A,N/A,N/A,N/A,348112,1.47946,1.0756,2.31298e+07,2.31298,10.6183,0.79,"31,24",arm_core
vib_new_749,12276,50x50,0.75,N/A,N/A,N/A,N/A,313392,1.47946,1.0756,2.71467e+07,2.71467,9.26875,0.67,"37,17",arm_core
vib_new_712,12276,50x50,0.75,N/A,N/A,N/A,N/A,208109,1.47946,1.0756,3.25047e+07,3.25047,10.3823,0.52,"30,20",arm_core
vib_new_368,12276,50x50,0.75,N/A,N/A,N/A,N/A,252922,1.47946,1.0756,3.07146e+07,3.07146,10.1077,0.62,"28,36",arm_core
vib_new_1001,12276,50x50,0.75,N/A,N/A,N/A,N/A,256924,1.47946,1.0756,3.13372e+07,3.13372,10.2304,0.63,"28,25",arm_core
vib_new_993,12276,50x50,0.75,N/A,N/A,N/A,N/A,245390,1.47946,1.0756,2.91168e+07,2.91168,9.64846,0.71,"30,19",arm_core
vib_new_80,12276,50x50,0.75,N/A,N/A,N/A,N/A,259882,1.47946,1.0756,2.88484e+07,2.88484,10.1248,0.52,"26,24",arm_core
vib_new_407,12276,50x50,0.75,N/A,N/A,N/A,N/A,290577,1.47946,1.0756,3.38679e+07,3.38679,10.5806,0.65,"26,25",arm_core
vib_new_371,12276,50x50,0.75,N/A,N/A,N/A,N/A,230249,1.47946,1.0756,3.30650e+07,3.30650,10.1159,0.53,"31,24",arm_core
vib_new_384,12276,50x50,0.75,N/A,N/A,N/A,N/A,231632,1.47946,1.0756,2.92993e+07,2.92993,9.65363,0.6,"27,23",arm_core
vib_new_1453,12276,50x50,0.75,N/A,N/A,N/A,N/A,241105,1.47946,1.0756,2.99589e+07,2.99589,9.94456,0.67,"37,15",arm_core
vib_new_722,12276,50x50,0.75,N/A,N/A,N/A,N/A,255369,1.47946,1.0756,2.84197e+07,2.84197,9.72267,0.68,"31,21",arm_core
vib_new_158,12276,50x50,0.75,N/A,N/A,N/A,N/A,271530,1.47946,1.0756,2.65193e+07,2.65193,9.69268,0.69,"28,23",arm_core
vib_new_1088,12276,50x50,0.75,N/A,N/A,N/A,N/A,304568,1.47946,1.0756,2.30077e+07,2.30077,9.43507,0.72,"39,13",arm_core
